original_name,clean,counts
Linezolid Suspension,linezolid,9
Linezolid-Heparin Lock,linezolid-heparin lock,22
Linzess,linzess,7
Linzess (Linaclotide),linzess (linaclotide),21
Linzess (linaCLOtide) ,linzess (linaclotide),21
Linzess (linaCLOtide) 145 mcg,linzess (linaclotide) 145 mcg,29
Linzess (linaclotide),linzess (linaclotide),21
Linzess (linaclotide) 145 mcg,linzess (linaclotide) 145 mcg,29
Linzess 145 mcg,linzess 145 mcg,15
Linzess 145mcg,linzess 145mcg,14
Linzess 290 mcg capsule,linzess 290 mcg,15
Linzess 72 mcg capsule,linzess 72 mcg,14
Linzess 72mcg,linzess 72mcg,13
Linzessc145mcg,linzessc145mcg,14
Lioresal,lioresal,8
Liothyronine,liothyronine,12
Liothyronine Sodium,liothyronine sodium,19
Liothyronine/Levothyroxine,liothyronine/levothyroxine,26
Lipiodol,lipiodol,8
Lipitor,lipitor,7
Lipoic Acid,lipoic acid,11
Liposomal Cytarabine (Depocyt),liposomal cytarabine (depocyt),30
Liposomal DAUNOrubicin-Cytarabine (Vyxeos),liposomal daunorubicin-cytarabine (vyxeos),42
Liposomal DOXOrubicin (Doxil),liposomal doxorubicin (doxil),29
Liposomal DOXOrubicin Desensitization,liposomal doxorubicin desensitization,37
Liposomal Irinotecan (Onivyde),liposomal irinotecan (onivyde),30
Liposomal Irinotecan (Onivyde) Desensitization,liposomal irinotecan (onivyde) desensitization,46
Liposomal VinCRIStine ,liposomal vincristine,21
Liposomal Vitamin D,liposomal vitamin d,19
Lipram-UL20,lipram-ul20,11
Liquitears,liquitears,10
Lisdexamfetamine (Vyvanse),lisdexamfetamine (vyvanse),26
Lisinopril,lisinopril,10
Lisocabtagene Maraleucel,lisocabtagene maraleucel,24
Lithi,lithium,7
Lithiu,lithium,7
Lithium,lithium,7
Lithium ,lithium,7
Lithium Ca,lithium carbonate,17
Lithium Car,lithium carbonate,17
Lithium Carbo,lithium carbonate,17
Lithium Carbon,lithium carbonate,17
Lithium Carbona,lithium carbonate,17
Lithium Carbonat,lithium carbonate,17
Lithium Carbonate,lithium carbonate,17
Lithium Carbonate ,lithium carbonate,17
Lithium Carbonate (Oral Soln),lithium carbonate,17
Lithium Carbonate CR (Eskalith),lithium carbonate cr (eskalith),31
Lithium Carbonate SR (Lithobid),lithium carbonate sr (lithobid),31
Lithium Citrate (Syrup),lithium citrate,15
Lithium Oral Solution,lithium,7
Lithobid,lithobid,8
Livalo,livalo,6
Livalo (pitavastatin calcium),livalo (pitavastatin calcium),29
Lo Loestrin Fe,lo loestrin fe,14
Lo Loestrin Fe (1mg-10mcg),lo loestrin fe (1mg-10mcg),26
Lo-Ovral (28),lo-ovral,8
LoSeasonique,loseasonique,12
Lodine,lodine,6
Lodosyn,lodosyn,7
Loestrin 1.5/30 (21),loestrin 1.5/30,15
Loestrin 1/20 (21),loestrin 1/20,13
Loestrin 24 Fe,loestrin 24 fe,14
Loestrin Fe 1.5/30 (28),loestrin fe 1.5/30,18
Loestrin Fe 1/10 (28),loestrin fe 1/10,16
Loestrin Fe 1/20 (28),loestrin fe 1/20,16
Lofibra,lofibra,7
Lokelma,lokelma,7
Lokelma (sodium zirconium cyclosilicate),lokelma (sodium zirconium cyclosilicate),40
Lomedia 24 Fe,lomedia 24 fe,13
Lomotil,lomotil,7
Loper,loperamide,10
Loperamide,loperamide,10
Loperamide-Simethicone,loperamide-simethicone,22
Lopinavir-Ritonavir,lopinavir-ritonavir,19
Lopinavir-Ritonavir (Oral Soln),lopinavir-ritonavir,19
Loratadine,loratadine,10
Loratadine Reditab,loratadine reditab,18
Loraz,lorazepam,9
Loraze,lorazepam,9
Lorazepam,lorazepam,9
Lorazepam 2 mg syringe,lorazepam 2mg syringe,21
Lorazepam 2 mg syringe ,lorazepam 2mg syringe,21
Lorazepam 2mg Syringe,lorazepam 2mg syringe,21
Lorazepam 2mg syringa,lorazepam 2mg syringa,21
Lorazepam 2mg syringe,lorazepam 2mg syringe,21
Lorazepam 2mg syringe ,lorazepam 2mg syringe,21
Lorazepam Topical (C-AH),lorazepam topical (c-ah),24
Loryna (28),loryna,6
Loryna (28) (drospirenone/ethinyl estradiol,loryna  (drospirenone/ethinyl estradiol,39
Losartan,losartan,8
Losartan Potassium,losartan potassium,18
Lotemax,lotemax,7
Lotemax  opth soln,lotemax,7
Lotemax (Loteprednol Etabonate),lotemax (loteprednol etabonate),31
Lotemax (loteprednol etabonate),lotemax (loteprednol etabonate),31
"Lotemax 0.5 % eye drops,suspension",lotemax 0.5%,12
Lotemax 0.5%,lotemax 0.5%,12
Lotemax 0.5% ophtalmic ointment,lotemax 0.5% ophtalmic,22
Lotemax opth ,lotemax,7
Lotemax(loteprednol etabonate ,lotemax(loteprednol etabonate,29
Lotensin,lotensin,8
Lotensin (benazepril),lotensin (benazepril),21
Loteprednol Etabonate,loteprednol etabonate,21
Loteprednol etabonate,loteprednol etabonate,21
Lotrel,lotrel,6
Lotrimin,lotrimin,8
Lotrimin AF (clotrimazole),lotrimin af (clotrimazole),26
Lotronex,lotronex,8
Lovastatin,lovastatin,10
Lovaza,lovaza,6
Lovaza 1gm,lovaza 1gm,10
Lovenox,lovenox,7
Lox,lox,3
Loxapine Succinate,loxapine succinate,18
LoxiTANE,loxitane,8
Loxitane,loxitane,8
Loxo-101,loxo-101,8
Lubiprostone,lubiprostone,12
Lubiprostone Amitiza),lubiprostone amitiza),21
Lubricant Eye,lubricant,9
Lubricant Eye Drops,lubricant,9
Lubrifresh Pm,lubrifresh pm,13
Lumigan,lumigan,7
Lumigan ,lumigan,7
Lumigan (0.01%) Bimatoprost,lumigan (0.01%) bimatoprost,27
Lumigan (BIMATOPROST),lumigan (bimatoprost),21
Lumigan (Bimatoprost),lumigan (bimatoprost),21
Lumigan (bimatoprost),lumigan (bimatoprost),21
Lumigan (bimatoprost) 0.01%,lumigan (bimatoprost) 0.01%,27
Lumigan 0.01%,lumigan 0.01%,13
Lumigan 0.01% OPHTH Solution ,lumigan 0.01%,13
Lumigan 0.01% Ophth  (*NF*),lumigan 0.01%,13
Lumigan 0.01% Ophth drops,lumigan 0.01%,13
Lumigan 0.01% eye drops,lumigan 0.01%,13
Lumigan 0.01% opth sol,lumigan 0.01%,13
Lumigan 0.03% Ophth  (*NF*),lumigan 0.03%,13
Lumigan(bimatoprost),lumigan(bimatoprost),20
Lunesta,lunesta,7
Lunesta (Eszopiclone),lunesta (eszopiclone),21
Lunesta (eszopiclone),lunesta (eszopiclone),21
Lunesta(eszopiclone),lunesta(eszopiclone),20
Lupron Depot,lupron depot,12
Luras,lurasidone,10
Lurasidone,lurasidone,10
Lurasidone (Latuda),lurasidone (latuda),19
Lurasidone *NF*,lurasidone,10
Lurbinectedin,lurbinectedin,13
Lutein,lutein,6
Lutera (28),lutera,6
Lutera (28) 0.1mg -20mcg,lutera  0.1mg -20mcg,20
Luvox CR,luvox cr,8
Lybrel,lybrel,6
Lypo-Spheric Vitamin C,lypo-spheric vitamin c,22
Lypo-Spheric Vitamin C   ,lypo-spheric vitamin c,22
Lyrica,lyrica,6
Lyrica (brand),lyrica,6
Lysine,lysine,6
M-Acetylcysteine (NAC),mononitrate-acetylcysteine (nac),32
M-Vit (Doctor's Choice Eye Formula),mononitrate-vit (doctor'sodium choice formula),46
MAXIMUM D3,maximum d3,10
MBL HCV1,mbl hcv1,8
MBL- HCV1,mbl- hcv1,9
MBL-HCV 1,mbl-hcv 1,9
MBL-HCV1,mbl-hcv1,8
MEDROL,medrol,6
MEMAntine,memantine,9
MENINGO,meningo,7
MENINGOcoccal Conj Vaccine (Menactra),meningococcal conj vaccine (menactra),37
"MENINGOcoccal Conj Vaccine (Menactra,Menveo)",meningococcal conj vaccine (menactramenveo),43
MENINGOcoccal Conj Vaccine (Menomune),meningococcal conj vaccine (menomune),37
MENINGOcoccal Poly Vaccine (Menomune),meningococcal poly vaccine (menomune),37
MEROPENEM,meropenem,9
METRONIDAZOLE,metronidazole,13
MIDRIN,midrin,6
MOD-HYDROmorphone,mod-hydromorphone,17
MOD-Oxycodone,mod-oxycodone,13
MP0420 in 50ml 0.9% NaCl,mp0420 in 50ml 0.9% nacl,24
MS Contin,ms contin,9
MVI,mvi,3
Maalox,maalox,6
Maalox Advanced,maalox advanced,15
Maalox Max Quick Dissolve,maalox max quick dissolve,25
Maalox/,maalox/,7
Maalox/Diphenhydramine/Lidocaine,maalox/diphenhydramine/lidocaine,32
Maalox/Lidocaine,maalox/lidocaine,16
Macitentan (Opsumit),macitentan (opsumit),20
Macitentan 10mg tablet (Opsumit),macitentan 10mg (opsumit),25
Macrodantin,macrodantin,11
Madopar,madopar,7
Madopar  (bulk):levodopa/benserazide,madopar :levodopa/benserazide,29
Madopar (bulk):levodopa/benserazide    ,madopar :levodopa/benserazide,29
Madopar (levodopa+benserazide),madopar (levodopa+benserazide),30
Madopar(levodopa/ benserazide),madopar(levodopa/benserazide),29
Mag-Al Plus,mag-al plus,11
Mag-G,mag-g,5
MagOx,magox,5
Magnesium,magnesium,9
Magnesium ,magnesium,9
Magnesium (oxide/AA chelate),magnesium (oxide/aa chelate),28
Magnesium Citrate,magnesium citrate,17
Magnesium Oxide,magnesium oxide,15
Magnesium Sulf 2gm/50mL 50mL BAG,magnesium sulfate 2gm/50ml 50ml,31
Magnesium Sulfate,magnesium sulfate,17
Magnesium Sulfate (L&D),magnesium sulfate (l&d),23
Magnesium Sulfate (OB),magnesium sulfate (ob),22
Magnesium Sulfate (Theraworx),magnesium sulfate (theraworx),29
Magnesium Sulfate 50 % Topical Soln,magnesium sulfate 50% topical,29
Magnesium Sulfate Replacement (Critical Care and Oncology),magnesium sulfate replacement (critical care and oncology),58
Magnesium Sulfate Replacement (Oncology),magnesium sulfate replacement (oncology),40
Magnesium Tab SR,magnesium sr,12
Magnesium Taurate,magnesium taurate,17
Magonate,magonate,8
Magtab,magtab,6
Makena,makena,6
Malarone,malarone,8
Mannitol,mannitol,8
Mannitol 20 100g/500mL 500mL BAG,mannitol 20 100g/500ml 500ml,28
Mannitol 20%,mannitol 20%,12
Maraviroc,maraviroc,9
Marcaine,marcaine,8
Maribavir,maribavir,9
Maribavir 100mg,maribavir 100mg,15
Marijuana Lollipop (loz),marijuana lollipop (loz),24
Marinol,marinol,7
Marplan,marplan,7
Mavik,mavik,5
Mavyret,mavyret,7
Mavyret (glecaprevir- pibrentasvir),mavyret (glecaprevir- pibrentasvir),35
Mavyret (glecaprevir-pibrentasvir),mavyret (glecaprevir-pibrentasvir),34
Maxair Autohaler,maxair autohaler,16
Maxalt,maxalt,6
Maxalt (rizatriptan),maxalt (rizatriptan),20
Maxalt-MLT,maxalt-mlt,10
Maxzide-25mg,maxzide-25mg,12
Maxzide-37.5 mg-25 mg tablet,maxzide-37.5mg-25mg,19
"Measles, Mumps & Rubella Vac",measles mumps & rubella vac,27
Mebaral,mebaral,7
Mebendazole,mebendazole,11
Mechlorethamine,mechlorethamine,15
Mecl,meclizine,9
Meclizine,meclizine,9
Mederma,mederma,7
Medium Chain Triglycerides,medium chain triglycerides,26
Medrol,medrol,6
Medrol (Pak),medrol,6
MedroxyPROGESTERone Acetate,medroxyprogesterone acetate,27
Medroxyprojest,medroxyprojest,14
Mega Multivitamin with Mineral,mega multivitamin with mineral,30
Megace,megace,6
Megace ES,megace es,9
Megace Oral,megace,6
Megestrol,megestrol,9
Megestrol Acetate,megestrol acetate,17
Megestrol Acetate 40mg/ml suspension,megestrol acetate 40mg/ml,25
Mekinist,mekinist,8
Mekinist (trametinib),mekinist (trametinib),21
Mektovi ((Binimetinib),mektovi ((binimetinib),22
Melatin,melatin,7
Melatonin,melatonin,9
Melatonin ,melatonin,9
Melatonin-Theanine,melatonin-theanine,18
Meloxicam,meloxicam,9
Meloxicam 15mg,meloxicam 15mg,14
Meloxicam Oral Suspension,meloxicam,9
Melphalan,melphalan,9
Memantine,memantine,9
Men's One a Day Multivitamin,men'sodium one a day multivitamin,33
Men-Phor,men-phor,8
Menest,menest,6
Menest(esterified estrogens),menest(esterified estrogens),28
"Meningococ Vac A,C,Y,W135 (PF)",meningococ vac acyw135 (pf),27
Meningococcal Group B Vaccine (Trumenba),meningococcal group b vaccine (trumenba),40
Menomune,menomune,8
Menomune - A/C/Y/W-135,menomune - a/c/y/w-135,22
Menthol-Cetylpyridinium (Cepacol),menthol-cetylpyridinium (cepacol),33
Mepe,meperidine,10
Meper,meperidine,10
Meperi,meperidine,10
Meperidine,meperidine,10
Meperidine 25mg/1mL 1mL SYR,meperidine 25mg/1ml 1ml,23
Meperidine 50mg/1mL 1mL SYR,meperidine 50mg/1ml 1ml,23
Mephobarbital,mephobarbital,13
Mephyton,mephyton,8
Mepivacaine 1%,mepivacaine 1%,14
Mepivacaine 2%,mepivacaine 2%,14
Meprobamate,meprobamate,11
Merc,mercaptopurine,14
Merca,mercaptopurine,14
Mercaptopurine,mercaptopurine,14
Meropenem,meropenem,9
Meropenem Desensitization,meropenem desensitization,25
Meropenem Graded Challenge,meropenem graded challenge,26
Mes,mesalamine,10
Mesa,mesalamine,10
Mesal,mesalamine,10
Mesala,mesalamine,10
Mesalam,mesalamine,10
Mesalami,mesalamine,10
Mesalamin,mesalamine,10
Mesalamine,mesalamine,10
Mesalamine ,mesalamine,10
Mesalamine (Apriso),mesalamine (apriso),19
Mesalamine (Apriso) ER,mesalamine (apriso) er,22
Mesalamine (Rectal),mesalamine,10
Mesalamine 500MG CAP,mesalamine 500mg,16
Mesalamine CR,mesalamine cr,13
Mesalamine CR (Apriso),mesalamine cr (apriso),22
Mesalamine DR,mesalamine dr,13
Mesalamine DR (ASACOL HD),mesalamine dr (asacol hd),25
Mesalamine DR 1.2GM,mesalamine dr 1.2gm,19
Mesalamine DR 800mg TAB,mesalamine dr 800mg,19
Mesalamine Delayed-Release,mesalamine delayed-release,26
Mesalamine Enema,mesalamine enema,16
Mesna,mesnex,6
Mesnex,mesnex,6
Mestinon,mestinon,8
Mestinon Timespan,mestinon timespan,17
Met,metamucil,9
MetFORM,metformin,9
MetFORMI,metformin,9
MetFORMIN,metformin,9
MetFORMIN ,metformin,9
MetFORMIN (Glucophage),metformin (glucophage),22
MetFORMIN XR (Glucophage XR),metformin xr (glucophage xr),28
MetFORMin,metformin,9
MetOLazone,metolazone,10
MetRONIDAZOLE,metronidazole,13
MetRONIDAZOLE (FLagyl),metronidazole (flagyl),22
Metadate CD,metadate cd,11
Metamucil,metamucil,9
Metamucil Fiber Singles,metamucil fiber singles,23
Metamucil Sugar Free,metamucil,9
Metamucil Sugar-Free (aspart),metamucil - (aspart),20
Metamucil husk 3.4 gm,metamucil husk 3.4 gm,21
Metanx (algal oil),metanx (algal oil),18
Metaproterenol,metaproterenol,14
Metaxall,metaxall,8
Metaxalone,metaxalone,10
Metformin,metformin,9
Metformin XR,metformin xr,12
Meth,methadone,9
MethIMAzole,methimazole,11
Metha,methadone,9
Methad,methadone,9
Methado,methadone,9
Methadon,methadone,9
Methadone,methadone,9
Methadone ,methadone,9
Methadone (Concentrated Oral Solution),methadone,9
Methadone (Concentrated Oral Solution) 10 mg/1 mL,methadone  10mg/1ml,19
Methadone (Dispersible Tablet),methadone (dispersible),23
Methadone (Oral Solution)  2 mg/1 mL,methadone  2mg/1ml,18
Methadone HCl (Concentrated Oral Solution),methadone hcl,13
Methadone Inj,methadone inj,13
Methadone Oral Liquid,methadone,9
Methazolamide,methazolamide,13
Methenamine Hippurate,methenamine hippurate,21
Methenamine Mandelate,methenamine mandelate,21
Methenamine hippurate,methenamine hippurate,21
Methimazole,methimazole,11
Methocarbamol,methocarbamol,13
Methotr,methotrexate,12
Methotre,methotrexate,12
Methotrexat,methotrexate,12
Methotrexate,methotrexate,12
Methotrexate Desensitization,methotrexate desensitization,28
Methotrexate Sodium,methotrexate sodium,19
Methotrexate Sodium P.F.,methotrexate sodium p.f.,24
Methotrexate*,methotrexate,12
Methyl Salicylate-Menthol,methyl salicylate-menthol,25
MethylPHENID,methylphenidate,15
MethylPHENIDATE,methylphenidate,15
MethylPHENIDATE ,methylphenidate,15
MethylPHENIDATE (Ritalin),methylphenidate (ritalin),25
MethylPRED,methylpred,10
MethylPREDNISolone,methylprednisolone,18
MethylPREDNISolone Sodium Succ,methylprednisolone sodium succ,30
Methyldopa,methyldopa,10
Methylene ,methylene,9
Methylene Blu,methylene blue,14
Methylene Blue ,methylene blue,14
Methylene Blue (Antidote),methylene blue (antidote),25
Methylene Blue 0.5%,methylene blue 0.5%,19
Methylene Blue 1%,methylene blue 1%,17
Methylergonovine Maleate,methylergonovine maleate,24
Methylin,methylnaltrexone,16
Methylnal,methylnaltrexone,16
Methylnaltrexone,methylnaltrexone,16
Methylnaltrexone (Relistor),methylnaltrexone (relistor),27
Methylnaltrexone (Relistor) ,methylnaltrexone (relistor),27
Methylp,methylphenidate,15
Methylphenidate,methylphenidate,15
Methylphenidate ER,methylphenidate er,18
Methylphenidate ER 18mg (Concerta),methylphenidate er 18mg (concerta),34
Methylphenidate ER 54mg TAB,methylphenidate er 54mg,23
Methylphenidate SR,methylphenidate sr,18
Methylprednisolone,methylprednisolone,18
Methylprednisolone ACETATE,methylprednisolone acetate,26
Methylprednisolone Acetate,methylprednisolone acetate,26
Methylprednisolone Na Succ Desensitization,methylprednisolone na succ desensitization,42
Methylprenisolone,methylprenisolone,17
Methysergide ,methysergide,12
Methysergide (Bulk),methysergide,12
Metipranolol,metipranolol,12
Metoclop,metoclop,8
Metoclopramide,metoclopramide,14
Metoclopramide (Liquid),metoclopramide,14
Metolazone,metolazone,10
Metoprol,metoprolol,10
Metoprolo,metoprolol,10
Metoprolol,metoprolol,10
Metoprolol ,metoprolol,10
Metoprolol Succinate,metoprolol succinate,20
Metoprolol Succinate XL,metoprolol succinate xl,23
Metoprolol Tart 5mg/5mL 5mL VIAL,metoprolol tart 5mg/5ml 5ml,27
Metoprolol Tartra 12.5mg HALFTAB,metoprolol tartra 12.5mg halftab,32
Metoprolol Tartrate,metoprolol tartrate,19
Metoprolol Tartrate Suspension,metoprolol tartrate,19
Metoprolol XL (Toprol XL),metoprolol xl (toprol xl),25
Metro,metrocream,10
MetroCream,metrocream,10
MetroNIDAZOLE,metronidazole,13
MetroNIDAZOLE Gel 0.75%-Vaginal,metronidazole gel 0.75%-vaginal,31
MetroNIDAZOLE Graded Challenge,metronidazole graded challenge,30
MetroNIDAZOLE Topical 1 % Gel,metronidazole topical 1% gel,28
Metrogel,metrogel,8
MetronidAZOLE Topical 1 % Gel,metronidazole topical 1% gel,28
Metronidazole Gel 0.75%-Vaginal,metronidazole gel 0.75%-vaginal,31
Mevacor,mevacor,7
Mexiletine,mexiletine,10
Mg-Plus-Protein,mg-plus-protein,15
Micafungin,micafungin,10
Micardis,micardis,8
Micardis HCT,micardis hct,12
Micardis HCT 80mg/12.5mg,micardis hct 80mg/12.5mg,24
Micardis HCT 8mg/12.5mg,micardis hct 8mg/12.5mg,23
Miconazole,miconazole,10
Miconazole 2% Cream,miconazole 2%,13
Miconazole Nitrate (Combo Pack),miconazole nitrate,18
Miconazole Nitrate Vag Cream 2%,miconazole nitrate vag 2%,25
Miconazole Powder 2%,miconazole powder 2%,20
Micro-Guard,micro-guard,11
Micro-K,micro-k,7
Microgestin 1.5/30 (21),microgestin 1.5/30,18
Microgestin 1/20  FE ,microgestin 1/20 fe,19
Microgestin 1/20 (21),microgestin 1/20,16
Microgestin FE 1/20 (28),microgestin fe 1/20,19
Microgestin Fe 1.5/30 (28),microgestin fe 1.5/30,21
Micronase,micronase,9
Midazolam,midazolam,9
Midazolam ,midazolam,9
Midazolam 100mg/100mL 100mL Bag,midazolam 100mg/100ml 100ml,27
Midazolam 2mg/2mL 2mL Vial,midazolam 2mg/2ml 2ml,21
Midazolam Intradermal,midazolam intradermal,21
Midodrine,midodrine,9
Midodrine 20 mg,midodrine 20mg,14
Midodrine 20 mg TID,midodrine 20mg tid,18
Midodrine 20mg,midodrine 20mg,14
Midodrione 20 mf,midodrione 20 mf,16
Midol Complete,midol complete,14
Midol Max St Menstrual,midol max st menstrual,22
Midostaurin,midostaurin,11
Midostaurin *NF*,midostaurin,11
Mifeprex,mifeprex,8
Migergot,migergot,8
Miglitol,miglitol,8
Migraine Formula,migraine formula,16
Migraine Relief,migraine,8
Mili,mili,4
Milk Of Magnesia,milk of magnesia,16
Milk Thistle,milk thistle,12
Milk Thistle Extract,milk thistle extract,20
Milk of Magnesia,milk of magnesia,16
Milrinone,milrinone,9
Milrinone Lactate,milrinone lactate,17
Minastrin 24 Fe,minastrin 24 fe,15
Mineral,mineral,7
Mineral Oil,mineral oil,11
Mineral Oil-Hydrophil Petrolat,mineral oil-hydrophil petrolat,30
Minocycline,minocycline,11
Minocycline 100mg tablets,minocycline 100mg,17
Minoxidil,minoxidil,9
Miralax,miralax,7
Mirapex,mirapex,7
Mirapex 0.25 mg,mirapex 0.25mg,14
Mirapex ER,mirapex er,10
Mirapex ER (pramipexole),mirapex er (pramipexole),24
Mirapex ER(pramipexole),mirapex er(pramipexole),23
Mirena,mirena,6
Mirtazapine,mirtazapine,11
Mirtazapine Soluble,mirtazapine soluble,19
Misoprostol,misoprostol,11
Mitomycin,mitomycin,9
Mitomycin (Bulk),mitomycin,9
Mitotane,mitotane,8
Mitoxantrone HCl,mitoxantrone hcl,16
Mitoxantrone*,mitoxantrone,12
Mobic,mobic,5
Moda,modafinil,9
Modafin,modafinil,9
Modafinil,modafinil,9
Moderna COVID-19 Vaccine (EUA),moderna covid-19 vaccine (eua),30
Moderna mRNA COVID-19 Vaccine (Full Dose),moderna mrna covid-19 vaccine (full),36
Moexipril,moexipril,9
Molindone HCl,molindone hcl,13
Molnupiravir,molnupiravir,12
Mometasone,mometasone,10
Mometasone (Nasonex),mometasone (nasonex),20
Mometasone 220 mcg INH (Asmanex),mometasone 220 mcg (asmanex),28
Mometasone Nasal Spray  (*NF*),mometasone,10
Monistat 1 Combo Pack,monistat 1,10
Mono-Linyah,mononitrate-linyah,18
Mononessa (28),mononessa,9
Monopril,monopril,8
Montelukast,montelukast,11
Montelukast ,montelukast,11
Montelukast Sodium,montelukast sodium,18
Morp,morphine,8
Morph,morphine,8
Morphi,morphine,8
Morphin,morphine,8
Morphine,morphine,8
Morphine ,morphine,8
Morphine (Bulk),morphine,8
Morphine (PF),morphine (pf),13
Morphine 0.2% Oral Rinse,morphine 0.2%,13
Morphine Concentrate,morphine concentrate,20
Morphine Infusion – Comfort Care Guidelines,morphine infusion – comfort care guidelines,43
Morphine Intrathecal,morphine intrathecal,20
Morphine PCA,morphine pca,12
Morphine S,morphine sodium,15
Morphine SR (MS Contin),morphine sr (ms contin),23
Morphine Su,morphine sulfate,16
Morphine Sul,morphine sulfate,16
Morphine Sulf,morphine sulfate,16
Morphine Sulfa,morphine sulfate,16
Morphine Sulfat,morphine sulfate,16
Morphine Sulfat 4mg/1mL 1mL VIAL,morphine sulfate 4mg/1ml 1ml,28
Morphine Sulfate,morphine sulfate,16
Morphine Sulfate ,morphine sulfate,16
Morphine Sulfate (,morphine sulfate (,18
Morphine Sulfate (Concentrated Oral Soln),morphine sulfate,16
Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,morphine sulfate  20mg/ml,25
Morphine Sulfate (Immediate Release),morphine sulfate (immediate release),36
Morphine Sulfate (Oral Soln.),morphine sulfate (.),20
Morphine Sulfate (Oral Solution) 2 mg/mL,morphine sulfate  2mg/ml,24
Morphine Sulfate (PF),morphine sulfate (pf),21
Morphine Sulfate (Rectal),morphine sulfate,16
Morphine Sulfate (Syringe),morphine sulfate (syringe),26
Morphine Sulfate 100mg 100mL BAG,morphine sulfate 100mg 100ml,28
Morphine Sulfate 2mg/1mL 1mL SYR,morphine sulfate 2mg/1ml 1ml,28
Morphine Sulfate For Inhalation,morphine sulfate,16
Morphine Sulfate IR,morphine sulfate ir,19
Morphine Topical Gel,morphine topical gel,20
Morphine/Bupivacaine/CloNIDine Intrathecal,morphine/bupivacaine/clonidine intrathecal,42
Motegrity,motegrity,9
Motegrity (prucalopride),motegrity (prucalopride),24
Motilium,motilium,8
Mouth,mouth,5
Mouth Care Oral Rinse,mouth care,10
Mov,movantik,8
Movantik,movantik,8
Movantik (naloxegol),movantik (naloxegol),20
Movantik 12.5mg Tab,movantik 12.5mg,15
Movantik 25mg tabs,movantik 25mg,13
MoviPrep,moviprep,8
Moxifloxacin,moxifloxacin,12
Moxifloxacin 0.5%,moxifloxacin 0.5%,17
Moxifloxacin 0.5% Ophth (*NF*),moxifloxacin 0.5%,17
Mucinex,mucinex,7
Mucinex DM,mucinex dm,10
Mucinex Fast-Max DM Max,mucinex fast-max dm max,23
Mucinex Fast-Max Severe Cold,mucinex fast-max severe cold,28
Mul,mul,3
Mult,mult,4
Multaq,multaq,6
Multaq (dronedarone),multaq (dronedarone),20
Multi,multi,5
Multi Complete with Iron,multi complete with iron,24
Multi Vitamin,multi vitamin,13
Multi-Vitamin HP/Minerals,multi-vitamin hp/minerals,25
MultiVitamins,multivitamins,13
Multigen,multigen,8
Multiple Vitamin-Minerals,multiple vitamin-minerals,25
Multiple Vitamins Liq.,multiple vitamins liq.,22
Multiv,mupirocin,9
Multivi,mupirocin,9
Multivit,mupirocin,9
Multivita,mupirocin,9
Multivitam,mupirocin,9
Multivitami,mupirocin,9
Multivitamin,multivitamin,12
Multivitamin (Infant),multivitamin (infant),21
Multivitamin Gummies,multivitamin,12
Multivitamin IV (Without Vit. K),multivitamin (without vit. k),29
Multivitamin Softgel,multivitamin softgel,20
Multivitamin VitEyes,multivitamin viteyes,20
Multivitamins,multivitamins,13
Multivitamins ,multivitamins,13
Multivitamins W/minera,multivitamins w/minera,22
Multivitamins W/mineral,multivitamins w/mineral,23
Multivitamins W/minerals,multivitamins w/minerals,24
Multivitamins W/minerals ,multivitamins w/minerals,24
Multivitamins W/minerals Chewable,multivitamins w/minerals,24
Multivitamins W/minerals Liquid,multivitamins w/minerals,24
"Multivitamins c minerals,no vit K",multivitamins c mineralsno vit k,32
Multivitamins w/.mineral,multivitamins w/.mineral,24
Multivitamins w/Minerals,multivitamins w/minerals,24
Multivitman w/ Iron,multivitman w/iron,18
Mumps Skin Test,mumps skin,10
Mupiro,mupirocin,9
Mupiroci,mupirocin,9
Mupirocin,mupirocin,9
Mupirocin ,mupirocin,9
Mupirocin Calcium,mupirocin calcium,17
Mupirocin Cream 2%,mupirocin 2%,12
Mupirocin Nasal Ointment 2%,mupirocin 2%,12
Mupirocin Ointment 2%,mupirocin 2%,12
Muro 128,muro 128,8
Muro 128 5%,muro 128 5%,11
Muro-128,muro-128,8
Muromonab-CD3,muromonab-cd3,13
Mycamine,mycamine,8
Mycoph,mycophenolate,13
Mycophen,mycophenolate,13
Mycopheno,mycophenolate,13
Mycophenol,mycophenolate,13
Mycophenolat,mycophenolate,13
Mycophenolate,mycophenolate,13
Mycophenolate ,mycophenolate,13
Mycophenolate Mofe,mycophenolate mofe,18
Mycophenolate Mofetil,mycophenolate mofetil,21
Mycophenolate Mofetil ,mycophenolate mofetil,21
Mycophenolate Mofetil (Brand) *NF*,mycophenolate mofetil,21
Mycophenolate Mofetil (Self Med),mycophenolate mofetil,21
Mycophenolate Mofetil Suspension,mycophenolate mofetil,21
Mycophenolate Sodium,mycophenolate sodium,20
Mycophenolate Sodium DR,mycophenolate sodium dr,23
Mycostatin,mycostatin,10
Myfort,myfort,6
Myfortic,myfortic,8
Mylanta,mylanta,7
Mylanta Maximum Strength,mylanta maximum strength,24
Myobloc,myobloc,7
Myoflex,myoflex,7
Myrbetriq,myrbetriq,9
Myrbetriq (Mirabergon),myrbetriq (mirabergon),22
Myrbetriq (mirabegron),myrbetriq (mirabegron),22
